Coven #,curve_type,circulating_supply,bonding_curve_backing,ch_treasury,dao_treasury,buys,sales,target_supply,target_price,beyond_supply,beyond_price,linear_slope,quadratic_coefficient,exponential_coefficient,exponential_intercept
16,Quadratic,14,2054.000263146353,506.97789570632875,68538.54532669742,30,16,303,3625,323,10875,11.52317880794702,0.03815622121836761,0.5809294871794872,-49358.09294871795
17,Fixed,1,53,139.12499999999991,68538.54532669742,18,17,525,1325,556,3975,2.427480916030534,0.0046325971679972025,0.07922508894137344,-20428.30802116655
18,Fixed,6,114,48.44999999999998,68538.54532669742,20,14,649,475,686,1425,0.7037037037037037,0.0010859625057155922,0.019261572149794206,-7613.011191987186
19,Fixed,8,1776,732.5999999999995,68538.54532669742,26,18,81,5550,90,16650,66.6,0.8325,7.297830374753452,-41156.11439842209
20,Quadratic,5,239.12059993878182,116.83170339761247,68538.54532669742,18,13,100,1225,110,3675,11.878787878787879,0.11998775635139272,1.1778846153846154,-10319.447115384615
21,Fixed,16,1008,170.09999999999988,68538.54532669742,26,10,282,1575,301,4725,5.380782918149467,0.0191486936588949,0.2853519340519975,-20956.674064679773
22,Fixed,8,1048,294.74999999999983,68538.54532669742,19,11,523,3275,554,9825,6.022988505747127,0.01153829215660369,0.19654913728432108,-50281.495123780944
23,Fixed,3,609,532.8750000000003,68538.54532669742,19,16,128,5075,139,15225,38.36220472440945,0.30206460412920827,3.481989708404803,-51086.01200686106
24,Fixed,0,0,469.8000000000003,68538.54532669742,18,18,555,4350,588,13050,7.537906137184115,0.013606328767480353,0.2310572862720102,-66565.17807346028
25,Fixed,5,455,252.52499999999984,68538.54532669742,21,16,354,2275,377,6825,6.186968838526912,0.01752682390517539,0.27136637442595574,-31539.692550843916
26,Quadratic,6,880.0987654320986,420.2296296296295,68538.54532669742,22,16,379,3675,403,11025,9.333333333333334,0.024691358024691357,0.3926282051282051,-52425.28846153846
27,Quadratic,14,857.1211727110581,231.2250083605826,68538.54532669742,32,18,465,1525,493,4575,3.1551724137931036,0.006799940546967895,0.11394202032277347,-23006.261207411837
28,Fixed,15,1170,181.3499999999999,68538.54532669742,23,8,184,1950,198,5850,10.229508196721312,0.05589895189465197,0.7330827067669173,-22600.206766917294
29,Quadratic,15,3520.5643321707985,656.6607220284664,68538.54532669742,26,11,413,5825,439,17475,13.572815533980583,0.03294372702422471,0.5271493212669683,-83655.43438914027
30,Quadratic,16,3255.5091011446802,669.811090260837,68538.54532669742,30,14,220,4925,236,14775,21.589041095890412,0.09858009632826671,1.3560022026431717,-60110.22164096916
31,Fixed,18,1890,362.25,68538.54532669742,32,14,70,2625,78,7875,36.52173913043478,0.5293005671077504,4.49486301369863,-18775.04280821918
32,Fixed,4,144,113.40000000000008,68538.54532669742,23,19,313,900,334,2700,2.769230769230769,0.008875739644970414,0.132890365448505,-12036.07973421927
33,Quadratic,6,778.7440282735714,429.72864830305286,68538.54532669742,25,19,412,3250,438,9750,7.591240875912408,0.018470172447475446,0.294811320754717,-46549.82311320755
34,Linear,8,782.769230769231,387.13846153846157,68538.54532669742,22,14,118,1800,129,5400,14.76923076923077,0.126232741617357,1.3358070500927643,-16485.86270871985
35,Linear,6,520.6611570247934,223.57190082644627,68538.54532669742,18,12,364,2100,387,6300,5.553719008264463,0.015299501400177584,0.24380333197887039,-30025.721251523773
36,Linear,9,2613.9537572254344,1052.22225433526,68538.54532669742,25,16,174,5550,188,16650,30.797687861271676,0.1780213171171773,2.2023809523809526,-60365.05952380953
37,Quadratic,4,962.6976918746487,877.9600487896413,68538.54532669742,26,22,293,6075,313,18225,19.972602739726028,0.06839932445111653,1.005794701986755,-79683.07947019867
38,Quadratic,5,428.9042026800314,264.9792701055448,68538.54532669742,23,18,435,2150,462,6450,4.755760368663594,0.010957973199685701,0.17794330643492653,-31366.689426857025
39,Linear,4,855.6186252771618,713.7249445676275,68538.54532669742,19,15,452,6075,480,18225,12.931263858093127,0.028672425405971456,0.4665898617511521,-88829.84447004608
40,Linear,7,660.2340425531913,272.4813829787234,68538.54532669742,21,14,659,2275,697,6825,3.3191489361702127,0.005044299295091509,0.08843193656223276,-36012.844981730545
41,Fixed,5,655,304.5749999999998,68538.54532669742,18,13,313,3275,334,9825,10.076923076923077,0.03229783037475345,0.4835732742709487,-43797.95681063123
42,Quadratic,12,264.4758091609389,86.2160199834788,68538.54532669742,32,20,504,550,534,1650,1.0497017892644136,0.0020868822848199076,0.035392535392535396,-8404.629987129987
43,Linear,13,3679.3087885985747,855.3251187648453,68538.54532669742,27,14,422,5525,448,16575,12.598574821852731,0.02992535587138416,0.48963133640552997,-81257.74769585254
44,Quadratic,4,686.6091693532087,490.6644642344155,68538.54532669742,21,17,532,4300,564,12900,7.7740112994350286,0.01464032259780608,0.2456581352833638,-64966.01348263254
45,Quadratic,9,351.055823939882,102.69046593852836,68538.54532669742,22,13,622,975,658,2925,1.5072463768115942,0.0024271278209526477,0.042383933229003655,-15369.982394366198
46,Quadratic,1,152.08700328814004,516.6379827485247,68538.54532669742,23,22,746,3825,788,11475,4.928859060402685,0.006615918201882798,0.11889220440134278,-62163.14574785528
47,Linear,9,2159.454545454545,743.5110389610389,68538.54532669742,24,15,463,5350,491,16050,11.116883116883116,0.024062517569011076,0.40141056422569027,-80328.67647058824
48,Linear,13,2797.9571984435797,715.8487354085603,68538.54532669742,27,14,515,4375,546,13125,8.171206225680933,0.015897288376811154,0.2665326388254287,-66041.85704712296
49,Linear,12,1936.901408450704,735.7183098591546,68538.54532669742,29,17,285,3000,304,9000,10.140845070422536,0.03570720095219203,0.537971846140052,-40390.657222272035
50,Fixed,3,555,541.125,68538.54532669742,21,18,74,4625,83,13875,60.821917808219176,0.8331769562769751,6.630824372759856,-30710.663082437277
51,Fixed,5,1095,542.0250000000002,68538.54532669742,19,14,498,5475,528,16425,10.575452716297788,0.02127857689395933,0.3564453125,-82570.2001953125
52,Linear,3,403.20000000000005,612.6399999999998,68538.54532669742,15,12,181,5600,195,16800,29.866666666666667,0.16592592592592592,2.1390374331550803,-63704.812834224605
53,Linear,8,384.0,129.89999999999998,68538.54532669742,18,10,235,975,252,2925,4.0,0.017094017094017096,0.23650697392359005,-11975.175864160097
54,Quadratic,4,303.86974165091374,136.84482419659736,68538.54532669742,14,10,691,1900,731,5700,2.643478260869565,0.0038311279143037175,0.06690140845070422,-29951.760563380278
55,Linear,2,138.9882352941176,479.8252941176469,68538.54532669742,16,14,256,4475,274,13425,16.847058823529412,0.06606689734717416,0.9417087542087542,-56759.61174242424
56,Fixed,11,1265,336.375,68538.54532669742,25,14,437,2875,464,8625,6.330275229357798,0.014518979883848161,0.236888724096733,-42156.59889589256
57,Fixed,12,720,189.0,68538.54532669742,27,15,695,1500,735,4500,2.07492795389049,0.002989809731830677,0.052521008403361345,-23796.008403361346
58,Linear,5,819.3884297520663,564.5615702479341,68538.54532669742,21,16,364,4450,387,13350,11.768595041322314,0.032420372014662024,0.5166308701457015,-63625.93312822895
59,Linear,3,336.09356725146216,269.6421052631579,68538.54532669742,14,11,514,3200,545,9600,5.988304093567251,0.011673107394867937,0.19531846064638203,-48201.763969847714
60,Fixed,2,262,334.0499999999998,68538.54532669742,18,16,730,3275,772,9825,4.31275720164609,0.005915990674411647,0.10396825396825397,-51977.99285714286
61,Quadratic,3,547.5162465960977,343.5836146884789,68538.54532669742,14,11,443,4575,470,13725,9.936651583710407,0.02248111218034029,0.3719965849493841,-68099.74082205148
62,Fixed,12,1680,315.0,68538.54532669742,21,9,155,3500,168,10500,21.818181818181817,0.14167650531286896,1.6774502755811167,-36282.41073568176
63,Quadratic,10,2427.9076638965844,599.2853185595569,68538.54532669742,20,10,115,5950,126,17850,50.10526315789474,0.43951985226223456,4.526435907189045,-52875.56104982883
64,Linear,4,457.5670103092783,576.3463917525773,68538.54532669742,22,18,292,3800,312,11400,12.536082474226804,0.043079321217274244,0.6312292358803987,-49653.122923588046
65,Quadratic,6,299.8809551063392,112.61881596117301,68538.54532669742,18,12,628,1250,664,3750,1.9138755980861244,0.0030524331707912668,0.053832902670111975,-19913.27519379845
66,Linear,11,3643.698113207548,1052.133962264151,68538.54532669742,22,11,213,5700,229,17100,25.81132075471698,0.12175151299394803,1.6193181818181819,-67078.63636363637
67,Fixed,7,735,259.875,68538.54532669742,20,13,541,2625,573,7875,4.666666666666667,0.008641975308641974,0.14753821942446044,-40397.14478417266
68,Quadratic,1,223.21556235522885,489.9746739969686,68538.54532669742,15,14,562,5625,595,16875,9.62566844919786,0.01715805427664503,0.29515938606847697,-87267.85714285714
69,Linear,5,109.02439024390239,145.26219512195115,68538.54532669742,22,17,124,750,135,2250,5.853658536585366,0.04759071980963712,0.5305978068623983,-7277.4142200212245
70,Quadratic,3,397.6000079744361,309.5999978639902,68538.54532669742,17,14,420,3325,446,9975,7.6181384248210025,0.018181714617711224,0.29602920227920226,-48646.18278133903
71,Fixed,12,588,117.59999999999994,68538.54532669742,22,10,104,1225,114,3675,11.41747572815534,0.11084927891412952,1.1342592592592593,-10808.356481481482
72,Fixed,9,1755,541.125,68538.54532669742,23,14,636,4875,673,14625,7.3700787401574805,0.011606423212846426,0.20161707231332326,-76422.04398353977
73,Linear,7,604.8920539730135,245.29486506746608,68538.54532669742,20,13,668,2075,706,6225,2.9865067466266866,0.0044775213592604,0.07959950897652295,-33337.94594905632
74,Linear,3,39.836065573770725,666.6565573770492,68538.54532669742,13,10,62,4050,70,12150,63.73770491803279,1.0448804084923409,7.788461538461538,-24930.865384615383
75,Fixed,6,402,190.95000000000013,68538.54532669742,22,16,231,1675,248,5025,6.991304347826087,0.030396975425330812,0.41312122333210016,-20179.1127142681
76,Fixed,9,1746,421.9500000000002,68538.54532669742,19,10,263,4850,281,14550,17.770992366412212,0.06782821513897791,0.994259942599426,-63399.979499794994
77,Fixed,2,476,642.6000000000004,68538.54532669742,19,17,419,5950,445,17850,13.665071770334928,0.03269155925917447,0.5309655541674103,-86822.4254863466
78,Quadratic,5,116.1389413988657,70.71301984877124,68538.54532669742,20,15,93,625,103,1875,6.521739130434782,0.07088846880907372,0.6443298969072165,-4828.6082474226805
79,Quadratic,9,1999.6339942080642,580.5606983738027,68538.54532669742,21,12,135,5525,147,16575,39.582089552238806,0.2953887280017821,3.2886904761904763,-53526.72619047619
80,Linear,19,8708.446808510636,1347.9430851063826,68538.54532669742,28,9,236,6125,253,18375,25.02127659574468,0.10647351742870077,1.4796473003985988,-75588.52216451261
81,Fixed,9,1278,351.4499999999999,68538.54532669742,21,12,324,3550,345,10650,10.551083591331269,0.03266589347161384,0.5068894124366389,-49333.265510102094
82,Linear,10,1362.2197183098597,621.0912676056341,68538.54532669742,31,21,711,3150,752,9450,4.259154929577464,0.00599880975996826,0.10517353633495267,-49867.979666449646
83,Fixed,14,2338,425.8499999999998,68538.54532669742,24,10,224,4175,240,12525,17.973094170403588,0.08059683484485913,1.129599567099567,-51998.856872294375
84,Fixed,1,192,590.3999999999995,68538.54532669742,21,20,622,4800,658,14400,7.420289855072464,0.011948936964689958,0.20865936358894105,-75667.60563380281
85,Fixed,10,490,176.4000000000001,68538.54532669742,29,19,616,1225,652,3675,1.9121951219512194,0.003109260360896292,0.05375636299806916,-19107.000394944705
86,Fixed,3,177,146.025,68538.54532669742,18,15,329,1475,350,4425,4.317073170731708,0.013161808447352766,0.20749806569599774,-20848.47189983822
87,Fixed,18,2736,455.9999999999997,68538.54532669742,29,11,450,3800,478,11400,8.124721603563474,0.018095148337557848,0.2931194075902499,-55293.16568960197
88,Fixed,2,200,270.0,68538.54532669742,19,17,696,2500,736,7500,3.4532374100719423,0.004968686920966824,0.08741258741258741,-39722.46503496503
89,Fixed,1,15,30.375,68538.54532669742,14,13,435,375,462,1125,0.8294930875576036,0.0019112743952940177,0.031036623215394164,-5470.934202358783
90,Fixed,4,560,399.0,68538.54532669742,21,17,621,3500,657,10500,5.419354838709677,0.00874089490114464,0.1523859282479972,-55077.15081853013
91,Linear,6,882.0,497.7539614561028,68538.54532669742,21,15,468,3675,496,11025,7.554603854389722,0.016176881915181417,0.27286902286902287,-55834.73232848233
92,Fixed,12,396,74.25,68538.54532669742,21,9,440,825,467,2475,1.8041002277904328,0.004109567717062489,0.06752608962553713,-12188.695518723142
93,Linear,9,2557.1764705882347,1188.3529411764707,68538.54532669742,24,15,154,5200,167,15600,32.627450980392155,0.21325131359733435,2.5078369905956115,-53505.95611285267
94,Fixed,7,1120,516.0,68538.54532669742,25,18,266,4000,284,12000,14.49056603773585,0.0546813812744749,0.8110300081103001,-52954.58231954583
95,Quadratic,9,1070.9264088226953,392.6776926743793,68538.54532669742,26,17,198,2975,213,8925,14.49746192893401,0.07359117730423355,0.9698451507742462,-34663.72045639772
96,Linear,2,167.36623376623385,594.6818181818181,68538.54532669742,20,18,386,4450,410,13350,11.096103896103896,0.028821049080789342,0.46704450041981527,-64777.67107472711
97,Fixed,0,0,652.6499999999999,68538.54532669742,19,19,58,5725,66,17175,96.42105263157895,1.6915974145891044,11.73155737704918,-32390.82991803279
98,Linear,14,3178.80239520958,790.8323353293413,68538.54532669742,29,15,669,4750,707,14250,6.826347305389222,0.010219082792498835,0.1819505094614265,-76440.68413391558
99,Quadratic,11,176.82468254067348,45.25800546891582,68538.54532669742,24,13,284,400,303,1200,1.3568904593639577,0.00479466593414826,0.07197480881691408,-5364.3904633378315
100,Quadratic,3,317.4600007491665,230.69413215297976,68538.54532669742,16,13,567,2650,600,7950,4.4946996466431095,0.007941165453433055,0.13785927949018079,-41514.04734035636
101,Fixed,6,306,175.94999999999993,68538.54532669742,26,20,228,1275,244,3825,5.392070484581498,0.023753614469522018,0.3390957446808511,-16198.264627659573
102,Fixed,2,48,75.59999999999994,68538.54532669742,22,20,311,600,332,1800,1.8580645161290323,0.00599375650364204,0.08914642299977714,-7966.971250278582
103,Fixed,0,0,374.39999999999986,68538.54532669742,13,13,332,4800,354,14400,13.921450151057401,0.04205876178567191,0.6379585326953748,-65095.37480063796
104,Quadratic,20,2720.887837732006,453.6587407001329,68538.54532669742,32,12,566,3375,599,10125,5.734513274336283,0.010149581016524394,0.1758774329711561,-52769.4735402173
105,Quadratic,3,494.77777777777806,440.88816872427975,68538.54532669742,17,14,82,4575,91,13725,54.22222222222222,0.6694101508916324,5.94541910331384,-34432.89473684211
106,Fixed,6,786,412.6499999999997,68538.54532669742,24,18,710,3275,750,9825,4.43441466854725,0.006254463566357193,0.1123113854595336,-53181.79955418381
107,Quadratic,5,438.19178082191775,205.53445299305685,68538.54532669742,18,13,293,2200,313,6600,7.232876712328767,0.024770125727153314,0.36423841059602646,-28856.4238410596
108,Fixed,4,164,110.70000000000006,68538.54532669742,20,16,640,1025,677,3075,1.539906103286385,0.0024098687062384743,0.042133388140992704,-16178.94717911828
109,Quadratic,14,2701.4826666666672,551.9104,68538.54532669742,25,11,76,4000,85,12000,51.2,0.6826666666666666,5.590496156533892,-27446.540880503144
110,Linear,4,325.0169491525425,295.62711864406776,68538.54532669742,14,10,119,2550,130,7650,20.74576271186441,0.17581154840563057,1.8770702981229297,-23586.326831063674
111,Quadratic,1,160.1349195471619,401.3096940873329,68538.54532669742,17,16,383,4050,407,12150,10.178010471204189,0.026644006469120914,0.4282994923857868,-58449.17512690355
112,Fixed,0,0,348.59999999999985,68538.54532669742,14,14,319,4150,340,12450,12.528301886792454,0.03939717574463036,0.6015800536348481,-56684.18134377038
113,Linear,5,961.5323741007193,503.9206834532374,68538.54532669742,17,12,696,4875,736,14625,6.733812949640288,0.009688939495885306,0.17045454545454544,-77458.80681818181
114,Fixed,17,2516,566.1000000000005,68538.54532669742,34,17,416,3700,442,11100,8.559036144578313,0.0206241834809116,0.3324946081955428,-53563.88389647735
115,Fixed,20,4300,451.5,68538.54532669742,24,4,554,5375,587,16125,9.330922242314648,0.016873277110876397,0.2860031393832974,-82087.3340516668
116,Quadratic,2,343.74350016013074,311.91980085596987,68538.54532669742,13,11,322,4325,343,12975,12.934579439252337,0.04029463999767083,0.6212741506859154,-59691.70976082741
117,Linear,4,130.6260869565219,128.37391304347824,68538.54532669742,19,15,461,925,489,2775,1.9304347826086956,0.0041965973534971645,0.06969559975889089,-13822.588908981312
